Sample,Download,Upload,Ping
15/04/2020 06:36:29,3.136,0.466,61.292
15/04/2020 06:37:54,3.393,0.465,64.603
15/04/2020 06:39:19,3.126,0.465,61.941
15/04/2020 06:40:44,2.695,0.264,59.924
15/04/2020 06:42:17,3.204,0.466,68.87
15/04/2020 06:43:43,2.987,0.465,59.11
15/04/2020 06:45:08,3.174,0.466,57.933
15/04/2020 06:46:33,1.72,0.409,72.142
15/04/2020 06:48:08,2.426,0.248,206.632
15/04/2020 06:50:04,3.356,0.465,66.108
15/04/2020 06:51:29,3.583,0.465,62.265
15/04/2020 06:52:54,2.814,0.466,60.805
15/04/2020 06:54:19,2.644,0.465,59.437
15/04/2020 06:55:45,2.792,0.462,60.155
15/04/2020 06:57:10,3.017,0.466,72.667
15/04/2020 06:58:36,2.774,0.462,63.566
15/04/2020 07:00:01,3.269,0.252,57.765
15/04/2020 07:01:35,3.017,0.466,60.996
15/04/2020 07:03:00,3.074,0.465,60.535
15/04/2020 07:04:25,3.033,0.248,59.816
15/04/2020 07:06:00,3.173,0.464,67.819
15/04/2020 07:07:25,3.504,0.466,60.972
15/04/2020 07:08:50,3.062,0.464,63.262
15/04/2020 07:10:15,2.979,0.464,59.672
15/04/2020 07:11:40,3.556,0.461,59.215
15/04/2020 07:13:06,3.222,0.466,65.816
15/04/2020 07:14:31,3.167,0.46,60.382
15/04/2020 07:15:59,2.725,0.464,87.433
15/04/2020 07:17:25,2.683,0.462,61.044
15/04/2020 07:18:51,3.119,0.466,60.414
15/04/2020 07:20:16,3.468,0.465,57.834
15/04/2020 07:21:41,3.106,0.464,67.867
15/04/2020 07:23:07,3.146,0.464,60.555
15/04/2020 07:24:32,2.645,0.466,61.925
15/04/2020 07:25:57,2.908,0.463,65.334
15/04/2020 07:27:22,2.679,0.464,62.82
15/04/2020 07:28:47,3.57,0.466,57.351
15/04/2020 07:30:12,3.161,0.465,68.346
15/04/2020 07:31:37,3.01,0.465,61.907
15/04/2020 07:33:02,2.972,0.465,67.908
15/04/2020 07:34:28,3.453,0.466,59.423
